1.502490268405686502e-01,2.544898183724964014e-01,3.687393504518494264e-02,1.012446765770240592e-01,1.065821779606683783e-01,1.879585396195964098e-01,9.220533601975287874e-02,7.443467648858123620e-02,2.694942338875940813e-01,2.694942338875940813e-01
1.502490268405686502e-01,2.544898183724964014e-01,3.687393504518494264e-02,1.012446765770240592e-01,1.065821779606683783e-01,1.879585396195964098e-01,9.220533601975287874e-02,7.443467648858123620e-02,2.694942338875940813e-01,2.694942338875940813e-01
1.754436352724442483e-01,1.625979544570992363e-01,1.024454750539127157e-01,1.015530906903435171e-01,8.992486453328311924e-02,1.075181501462706968e-01,9.793011213939878390e-02,6.664656468437669956e-02,1.972582611807381647e-01,1.972582611807381647e-01
2.155370776049689296e-01,2.127719167318446181e-01,1.048684593063142489e-01,2.027805653232714334e-01,9.662625108325695322e-02,1.695410493939562835e-01,1.120696593305497285e-01,5.081797249909961872e-02,3.503527401503896826e-02,3.503527401503896826e-02
2.039661882616251865e-01,2.554951928124469807e-01,1.512245714044530287e-01,2.576626118534970367e-01,9.662625108325695322e-02,1.698744970967711321e-01,6.731660787193621820e-02,1.050753038716810972e-01,3.503527401503896826e-02,3.503527401503896826e-02
1.335766821639395863e-01,2.794523329034199755e-01,1.707508383123560736e-01,2.136135214326093379e-01,6.526495173048835197e-02,1.238098826949726866e-01,6.586256124262114542e-02,2.042181223565184556e-01,1.754158494897325726e-01,1.754158494897325726e-01
8.584596232113438086e-02,3.157713160093862381e-01,2.311280932466378557e-01,2.043161411453334464e-01,6.526495173048835197e-02,8.212456847210887478e-02,9.427406914787808678e-02,2.303360529112501998e-01,2.317803532147598988e-01,2.317803532147598988e-01
8.584596232113438086e-02,3.691691993534085281e-01,2.155267062670355449e-01,1.574382296190754149e-01,1.203334945612877377e-01,6.947442376928400498e-02,1.037201784549301870e-01,2.089821491628184313e-01,1.278804551155705571e-01,1.278804551155705571e-01
1.511209634745176444e-01,3.689945235857016170e-01,1.569025223239891853e-01,1.679758413551920015e-01,1.314346308689637588e-01,4.612537638477008650e-02,1.642698604645185245e-01,1.436060913609082945e-01,5.527138534033858297e-02,5.527138534033858297e-02
2.303095923765465514e-01,1.806039117890627932e-01,3.125382269733492646e-02,2.157703529837460554e-01,1.555529615403726806e-01,8.212410138668385651e-02,1.752823307609578662e-01,1.560928562081828619e-01,2.203241519454662845e-01,2.203241519454662845e-01
2.908443497635047614e-01,1.070190361027397730e-01,1.217389685050359049e-01,1.598975861137697518e-01,2.171350869823438501e-01,1.586330794443311099e-01,1.868519479480246215e-01,1.603488983220196507e-01,2.771494465054971656e-01,2.771494465054971656e-01
2.864025549181084540e-01,1.120749814310591647e-01,1.746268539825163169e-01,1.192762699929755116e-01,1.994542723795074135e-01,1.842546077395645077e-01,3.366534568496375446e-01,1.103882233884919267e-01,3.925261007159756010e-01,3.925261007159756010e-01
2.864025549181084540e-01,2.079708801343135571e-01,1.325300024759973327e-01,7.584931664677917185e-02,4.708573052801171693e-02,1.945021286210145417e-01,4.217594266215003995e-01,9.385185527920777981e-02,3.880179374508190282e-01,3.880179374508190282e-01
2.572917132825700004e-01,2.277567407410596989e-01,9.846875821202448475e-02,1.194216929239700076e-01,1.259216362546576873e-01,5.523239691568554433e-02,5.154429601572455555e-01,2.026577354769970862e-01,3.109350023292504761e-01,3.109350023292504761e-01
2.755733262839327735e-01,2.271741194422462473e-01,4.850598731446482265e-02,1.793856635720978421e-01,1.281754492186630845e-01,1.217474255854926329e-01,6.442587254468130631e-01,2.112586001622763776e-01,2.809589587027980784e-01,2.809589587027980784e-01
2.105239371178072583e-01,3.144831862488131624e-01,5.201276304356477337e-02,2.788809223734423637e-01,7.544610074463210803e-02,1.557526697801728532e-01,6.873259891472810468e-01,1.811399064492950073e-01,2.427048054493562146e-01,2.427048054493562146e-01
